Designator,Mid X,Mid Y,Rotation,Layer
C1,93.42049,47.78613,180.0,top
C10,111.32049,49.6,90.0,top
C11,109.05,60.5,270.0,top
C12,105.0,49.1,270.0,top
C13,110.5,48.00388,180.0,top
C14,104.0,62.1,0.0,top
C15,105.75,62.6,270.0,top
C2,93.72049,52.28613,0.0,top
C3,104.3,57.0,0.0,top
C4,104.3,58.2,0.0,top
C5,104.3,54.6,0.0,top
C6,110.12049,49.6,90.0,top
C7,114.62049,55.84612,270.0,top
C8,114.45,58.2,270.0,top
C9,112.85,60.05,270.0,top
D1,103.52049,68.846125,270.0,top
D2,103.52049,65.086125,270.0,top
J1,96.02049,61.703875,0.0,top
J2,110.4,66.8825,180.0,top
J3,102.07949,41.845033,0.0,top
J4,96.39049,69.28613,0.0,bottom
Q1,101.32049,48.886125,270.0,top
Q2,97.920495,52.386125,180.0,top
Q3,97.920495,49.08613,0.0,top
R1,102.30379,52.40282,0.0,top
R10,111.45,60.05,270.0,top
R11,110.25,60.05,270.0,top
R12,104.02049,67.14612,0.0,top
R13,104.02049,63.38612,0.0,top
R14,112.85,62.15,270.0,top
R15,114.92049,53.48613,90.0,top
R16,111.7,62.15,270.0,top
R17,107.85,62.2,180.0,top
R2,100.62049,51.88613,90.0,top
R3,112.52049,49.6,270.0,top
R4,93.72049,53.58613,180.0,top
R5,91.72049,52.98613,270.0,top
R6,90.52049,52.98613,270.0,top
R7,103.02049,53.58613,0.0,top
R8,100.82049,53.58613,0.0,top
R9,95.93665,53.58101,180.0,top
S1,114.845465,61.54612,270.0,top
U1,93.42049,49.98613,0.0,top
U2,109.7,54.85,0.0,top
U3,105.1,60.3,0.0,top
X1,107.67049,49.1,0.0,top
